Date,Open,High,Low,Close,Adj Close,Volume
2017-02-21,1077.560059,1123.030029,1073.540039,1119.030029,1119.030029,62908569
2017-02-22,1119.030029,1132.250000,1094.829956,1120.459961,1120.459961,53647453
2017-02-23,1120.459961,1181.599976,1113.540039,1171.910034,1171.910034,75663167
2017-02-24,1171.910034,1211.739990,1092.410034,1176.489990,1176.489990,126978010
2017-02-25,1176.489990,1180.010010,1116.209961,1149.050049,1149.050049,53003830
2017-02-26,1149.050049,1177.469971,1130.609985,1171.579956,1171.579956,35750258
2017-02-27,1171.579956,1195.819946,1164.270020,1188.829956,1188.829956,42035366
2017-02-28,1188.829956,1208.219971,1175.750000,1189.270020,1189.270020,60371869
2017-03-01,1189.270020,1225.040039,1154.550049,1222.660034,1222.660034,61964760
2017-03-02,1222.660034,1286.979980,1211.959961,1255.469971,1255.469971,98040639
2017-03-03,1255.469971,1291.349976,1250.800049,1283.300049,1283.300049,85876262
2017-03-04,1283.300049,1285.780029,1228.729980,1264.319946,1264.319946,48597934
2017-03-05,1264.319946,1273.280029,1242.099976,1271.219971,1271.219971,32104972
2017-03-06,1271.219971,1280.609985,1261.000000,1277.010010,1277.010010,39591110
2017-03-07,1277.010010,1280.890015,1148.660034,1232.689941,1232.689941,108673876
2017-03-08,1232.689941,1242.040039,1136.880005,1146.969971,1146.969971,116342973
2017-03-09,1146.969971,1206.969971,1129.349976,1191.329956,1191.329956,70427061
2017-03-10,1191.329956,1330.420044,988.690002,1112.390015,1112.390015,223836041
2017-03-11,1112.390015,1202.689941,1104.780029,1179.219971,1179.219971,82387198
2017-03-12,1179.219971,1235.459961,1160.900024,1225.109985,1225.109985,53441762
2017-03-13,1225.109985,1245.630005,1205.609985,1238.189941,1238.189941,74376298
2017-03-14,1238.189941,1255.520020,1218.380005,1243.140015,1243.140015,56058617
2017-03-15,1243.140015,1256.949951,1236.430054,1253.430054,1253.430054,54486699
2017-03-16,1253.430054,1260.239990,1118.959961,1172.880005,1172.880005,159409024
2017-03-17,1172.880005,1174.900024,1063.479980,1071.709961,1071.709961,183879768
2017-03-18,1071.709961,1103.609985,940.179993,971.380005,971.380005,212772055
2017-03-19,971.380005,1063.670044,967.309998,1022.599976,1022.599976,108128237
2017-03-20,1022.599976,1057.500000,1005.049988,1047.510010,1047.510010,63833143
2017-03-21,1047.510010,1125.530029,1043.869995,1121.290039,1121.290039,101051998
2017-03-22,1121.290039,1121.880005,997.780029,1044.719971,1044.719971,120730492
